═══════════════════════════════════════════════════════════════
          NODE BONDING KEY DISCOVERY GAME - RUN LOG
═══════════════════════════════════════════════════════════════

HIGH INTENSITY GAME RULES:
───────────────────────────────────────────────────────────────
1. Multiple yellow nodes spawn every 2 seconds at random positions
2. Each node appears with a zoom animation (0 to full size)
3. Nodes remain still for 0.5 seconds after spawning
4. After the pause, nodes begin moving with HIGH random velocity
5. Nodes bounce off canvas boundaries
6. When two yellow nodes collide, they bond together
7. Bonded nodes turn green and generate a random code (1-1000)
8. Green bonded pairs remain stationary
9. Bonded pairs dissipate together after 5 seconds
10. A target key (1-1000) is randomly generated at game start
11. The game ends when a bonded pair generates the target key
───────────────────────────────────────────────────────────────

RUN STATISTICS:
───────────────────────────────────────────────────────────────
Run Date: 02/10/2025, 20:51:23
Target Key: 580
Total Time: 569 seconds
Total Bonds Created: 289
Total Nodes Spawned: 595
Success Rate: 1/289 (0.35%)
───────────────────────────────────────────────────────────────

DETAILED EVENT LOG:
───────────────────────────────────────────────────────────────
[20:41:53] Game started! Target key: 580
[20:41:53] Yellow node spawned at (527, 314)
[20:41:53] Yellow node spawned at (690, 378)
[20:41:53] Yellow node spawned at (562, 116)
[20:41:56] Yellow node spawned at (191, 367)
[20:41:56] Yellow node spawned at (243, 340)
[20:41:56] Yellow node spawned at (754, 474)
[20:41:58] Yellow node spawned at (231, 202)
[20:41:58] Yellow node spawned at (615, 157)
[20:41:58] Yellow node spawned at (573, 258)
[20:42:00] Yellow node spawned at (55, 34)
[20:42:00] Yellow node spawned at (245, 388)
[20:42:00] Yellow node spawned at (365, 228)
[20:42:02] Yellow node spawned at (672, 374)
[20:42:02] Yellow node spawned at (266, 542)
[20:42:02] Yellow node spawned at (643, 496)
[20:42:04] Yellow node spawned at (468, 380)
[20:42:04] Yellow node spawned at (726, 399)
[20:42:04] Yellow node spawned at (248, 277)
[20:42:06] Yellow node spawned at (382, 502)
[20:42:06] Yellow node spawned at (269, 454)
[20:42:06] Yellow node spawned at (158, 46)
[20:42:08] Yellow node spawned at (120, 564)
[20:42:08] Yellow node spawned at (113, 52)
[20:42:08] Yellow node spawned at (272, 145)
[20:42:09] Nodes bonded! Generated code: 232
[20:42:09] Yellow node spawned at (541, 228)
[20:42:09] Yellow node spawned at (583, 416)
[20:42:09] Yellow node spawned at (362, 253)
[20:42:09] Nodes bonded! Generated code: 283
[20:42:09] Nodes bonded! Generated code: 347
[20:42:10] Nodes bonded! Generated code: 268
[20:42:10] Nodes bonded! Generated code: 796
[20:42:10] Nodes bonded! Generated code: 581
[20:42:10] Nodes bonded! Generated code: 348
[20:42:10] Nodes bonded! Generated code: 551
[20:42:11] Nodes bonded! Generated code: 608
[20:42:11] Yellow node spawned at (537, 274)
[20:42:11] Yellow node spawned at (448, 332)
[20:42:11] Yellow node spawned at (76, 201)
[20:42:14] Yellow node spawned at (743, 449)
[20:42:14] Yellow node spawned at (460, 495)
[20:42:14] Yellow node spawned at (614, 320)
[20:42:16] Yellow node spawned at (703, 563)
[20:42:16] Yellow node spawned at (707, 93)
[20:42:16] Yellow node spawned at (596, 178)
[20:42:18] Yellow node spawned at (528, 147)
[20:42:18] Yellow node spawned at (676, 133)
[20:42:18] Yellow node spawned at (577, 467)
[20:42:20] Yellow node spawned at (106, 166)
[20:42:20] Yellow node spawned at (699, 291)
[20:42:20] Yellow node spawned at (658, 233)
[20:42:22] Yellow node spawned at (709, 429)
[20:42:22] Yellow node spawned at (735, 478)
[20:42:22] Yellow node spawned at (288, 555)
[20:42:24] Yellow node spawned at (380, 424)
[20:42:24] Yellow node spawned at (118, 276)
[20:42:24] Yellow node spawned at (318, 285)
[20:42:26] Yellow node spawned at (96, 330)
[20:42:26] Yellow node spawned at (454, 448)
[20:42:26] Yellow node spawned at (464, 343)
[20:42:28] Yellow node spawned at (437, 546)
[20:42:28] Yellow node spawned at (286, 159)
[20:42:28] Yellow node spawned at (105, 45)
[20:42:30] Yellow node spawned at (364, 74)
[20:42:30] Yellow node spawned at (248, 305)
[20:42:30] Yellow node spawned at (289, 84)
[20:42:32] Yellow node spawned at (241, 196)
[20:42:32] Yellow node spawned at (719, 113)
[20:42:32] Yellow node spawned at (348, 546)
[20:42:34] Yellow node spawned at (613, 387)
[20:42:34] Yellow node spawned at (747, 193)
[20:42:34] Yellow node spawned at (93, 398)
[20:42:36] Yellow node spawned at (214, 552)
[20:42:36] Yellow node spawned at (510, 512)
[20:42:36] Yellow node spawned at (404, 71)
[20:42:38] Yellow node spawned at (314, 172)
[20:42:38] Yellow node spawned at (49, 263)
[20:42:38] Yellow node spawned at (680, 375)
[20:42:40] Yellow node spawned at (569, 421)
[20:42:40] Yellow node spawned at (190, 218)
[20:42:40] Yellow node spawned at (328, 233)
[20:42:42] Yellow node spawned at (637, 346)
[20:42:42] Yellow node spawned at (215, 402)
[20:42:42] Yellow node spawned at (344, 365)
[20:42:44] Yellow node spawned at (522, 355)
[20:42:44] Yellow node spawned at (82, 167)
[20:42:44] Yellow node spawned at (650, 451)
[20:42:46] Yellow node spawned at (399, 402)
[20:42:46] Yellow node spawned at (220, 104)
[20:42:46] Yellow node spawned at (164, 316)
[20:42:48] Yellow node spawned at (439, 465)
[20:42:48] Yellow node spawned at (244, 370)
[20:42:48] Yellow node spawned at (182, 538)
[20:42:50] Yellow node spawned at (111, 457)
[20:42:50] Yellow node spawned at (401, 276)
[20:42:50] Yellow node spawned at (309, 126)
[20:42:52] Yellow node spawned at (362, 231)
[20:42:52] Yellow node spawned at (528, 163)
[20:42:52] Yellow node spawned at (171, 511)
[20:42:54] Yellow node spawned at (235, 492)
[20:42:54] Yellow node spawned at (77, 133)
[20:42:54] Yellow node spawned at (239, 453)
[20:42:56] Yellow node spawned at (487, 57)
[20:42:56] Yellow node spawned at (53, 195)
[20:42:56] Yellow node spawned at (359, 392)
[20:42:58] Yellow node spawned at (284, 392)
[20:42:58] Yellow node spawned at (531, 388)
[20:42:58] Yellow node spawned at (323, 197)
[20:43:00] Yellow node spawned at (392, 256)
[20:43:00] Yellow node spawned at (200, 291)
[20:43:00] Yellow node spawned at (484, 326)
[20:43:02] Yellow node spawned at (353, 87)
[20:43:02] Yellow node spawned at (515, 416)
[20:43:02] Yellow node spawned at (360, 464)
[20:43:04] Yellow node spawned at (156, 535)
[20:43:04] Yellow node spawned at (333, 345)
[20:43:04] Yellow node spawned at (592, 537)
[20:43:06] Yellow node spawned at (766, 153)
[20:43:06] Yellow node spawned at (685, 118)
[20:43:06] Yellow node spawned at (716, 335)
[20:43:08] Yellow node spawned at (191, 370)
[20:43:08] Yellow node spawned at (163, 295)
[20:43:08] Yellow node spawned at (630, 372)
[20:43:10] Yellow node spawned at (73, 158)
[20:43:10] Yellow node spawned at (115, 437)
[20:43:10] Yellow node spawned at (434, 162)
[20:43:12] Yellow node spawned at (608, 475)
[20:43:12] Yellow node spawned at (346, 413)
[20:43:12] Yellow node spawned at (631, 544)
[20:43:24] Yellow node spawned at (575, 207)
[20:43:24] Yellow node spawned at (748, 291)
[20:43:24] Yellow node spawned at (279, 50)
[20:43:24] Nodes bonded! Generated code: 361
[20:43:24] Nodes bonded! Generated code: 880
[20:43:24] Nodes bonded! Generated code: 506
[20:43:24] Nodes bonded! Generated code: 404
[20:43:24] Nodes bonded! Generated code: 476
[20:43:24] Nodes bonded! Generated code: 645
[20:43:24] Nodes bonded! Generated code: 814
[20:43:24] Nodes bonded! Generated code: 845
[20:43:24] Nodes bonded! Generated code: 5
[20:43:24] Nodes bonded! Generated code: 287
[20:43:24] Nodes bonded! Generated code: 760
[20:43:24] Nodes bonded! Generated code: 958
[20:43:24] Nodes bonded! Generated code: 981
[20:43:24] Nodes bonded! Generated code: 585
[20:43:24] Nodes bonded! Generated code: 504
