═══════════════════════════════════════════════════════════════
          NODE BONDING KEY DISCOVERY GAME - RUN LOG
═══════════════════════════════════════════════════════════════

HIGH INTENSITY GAME RULES:
───────────────────────────────────────────────────────────────
1. Multiple yellow nodes spawn every 2 seconds at random positions
2. Each node appears with a zoom animation (0 to full size)
3. Nodes remain still for 0.5 seconds after spawning
4. After the pause, nodes begin moving with HIGH random velocity
5. Nodes bounce off canvas boundaries
6. When two yellow nodes collide, they bond together
7. Bonded nodes turn green and generate a random code (1-1000)
8. Green bonded pairs remain stationary
9. Bonded pairs dissipate together after 5 seconds
10. A target key (1-1000) is randomly generated at game start
11. The game ends when a bonded pair generates the target key
───────────────────────────────────────────────────────────────

RUN STATISTICS:
───────────────────────────────────────────────────────────────
Run Date: 02/10/2025, 19:49:05
Target Key: 234
Total Time: 7817 seconds
Total Bonds Created: 677
Total Nodes Spawned: 1273
Success Rate: 1/677 (0.15%)
───────────────────────────────────────────────────────────────

DETAILED EVENT LOG:
───────────────────────────────────────────────────────────────
[17:38:48] Game started! Target key: 234
[17:38:48] Yellow node spawned at (367, 449)
[17:38:48] Yellow node spawned at (353, 348)
[17:38:48] Yellow node spawned at (155, 438)
[17:38:50] Yellow node spawned at (68, 515)
[17:38:50] Yellow node spawned at (572, 314)
[17:38:50] Yellow node spawned at (192, 254)
[17:38:53] Yellow node spawned at (404, 394)
[17:38:53] Yellow node spawned at (563, 79)
[17:38:53] Yellow node spawned at (312, 555)
[17:38:55] Yellow node spawned at (761, 51)
[17:38:55] Yellow node spawned at (100, 555)
[17:38:55] Yellow node spawned at (510, 357)
[17:38:57] Yellow node spawned at (760, 431)
[17:38:57] Yellow node spawned at (516, 107)
[17:38:57] Yellow node spawned at (49, 335)
[17:38:59] Yellow node spawned at (724, 343)
[17:38:59] Yellow node spawned at (683, 552)
[17:38:59] Yellow node spawned at (443, 415)
[17:39:01] Yellow node spawned at (36, 544)
[17:39:01] Yellow node spawned at (109, 313)
[17:39:01] Yellow node spawned at (696, 430)
[17:39:03] Yellow node spawned at (760, 315)
[17:39:03] Yellow node spawned at (255, 130)
[17:39:03] Yellow node spawned at (343, 324)
[17:39:05] Yellow node spawned at (427, 386)
[17:39:05] Yellow node spawned at (748, 401)
[17:39:05] Yellow node spawned at (426, 500)
[17:39:07] Yellow node spawned at (391, 280)
[17:39:07] Yellow node spawned at (41, 85)
[17:39:07] Yellow node spawned at (139, 173)
[17:39:07] Nodes bonded! Generated code: 428
[17:39:07] Nodes bonded! Generated code: 6
[17:39:07] Nodes bonded! Generated code: 325
[17:39:07] Nodes bonded! Generated code: 90
[17:39:07] Nodes bonded! Generated code: 963
[17:39:09] Yellow node spawned at (705, 227)
[17:39:09] Yellow node spawned at (322, 94)
[17:39:09] Yellow node spawned at (534, 248)
[17:39:11] Yellow node spawned at (548, 168)
[17:39:11] Yellow node spawned at (466, 382)
[17:39:11] Yellow node spawned at (621, 326)
[17:39:13] Yellow node spawned at (462, 465)
[17:39:13] Yellow node spawned at (469, 90)
[17:39:13] Yellow node spawned at (763, 466)
[17:39:15] Yellow node spawned at (332, 411)
[17:39:15] Yellow node spawned at (608, 56)
[17:39:15] Yellow node spawned at (491, 120)
[17:39:17] Yellow node spawned at (390, 130)
[17:39:17] Yellow node spawned at (330, 117)
[17:39:17] Yellow node spawned at (143, 540)
[17:39:19] Yellow node spawned at (512, 147)
[17:39:19] Yellow node spawned at (651, 567)
[17:39:19] Yellow node spawned at (328, 432)
[17:39:21] Yellow node spawned at (592, 33)
[17:39:21] Yellow node spawned at (531, 251)
[17:39:21] Yellow node spawned at (665, 493)
