═══════════════════════════════════════════════════════════════
          NODE BONDING KEY DISCOVERY GAME - RUN LOG
═══════════════════════════════════════════════════════════════

HIGH INTENSITY GAME RULES:
───────────────────────────────────────────────────────────────
1. Multiple yellow nodes spawn every 2 seconds at random positions
2. Each node appears with a zoom animation (0 to full size)
3. Nodes remain still for 0.5 seconds after spawning
4. After the pause, nodes begin moving with HIGH random velocity
5. Nodes bounce off canvas boundaries
6. When two yellow nodes collide, they bond together
7. Bonded nodes turn green and generate a random code (1-1000)
8. Green bonded pairs remain stationary
9. Bonded pairs dissipate together after 5 seconds
10. A target key (1-1000) is randomly generated at game start
11. The game ends when a bonded pair generates the target key
───────────────────────────────────────────────────────────────

RUN STATISTICS:
───────────────────────────────────────────────────────────────
Run Date: 02/10/2025, 19:48:45
Target Key: 143
Total Time: 7788 seconds
Total Bonds Created: 1140
Total Nodes Spawned: 2146
Success Rate: 1/1140 (0.09%)
───────────────────────────────────────────────────────────────

DETAILED EVENT LOG:
───────────────────────────────────────────────────────────────
[17:38:56] Game started! Target key: 143
[17:38:56] Yellow node spawned at (238, 282)
[17:38:56] Yellow node spawned at (163, 265)
[17:38:56] Yellow node spawned at (536, 384)
[17:38:58] Yellow node spawned at (59, 192)
[17:38:58] Yellow node spawned at (319, 312)
[17:38:58] Yellow node spawned at (549, 261)
[17:38:59] Nodes bonded! Generated code: 764
[17:39:01] Yellow node spawned at (405, 71)
[17:39:01] Yellow node spawned at (72, 230)
[17:39:01] Yellow node spawned at (328, 249)
[17:39:03] Yellow node spawned at (259, 231)
[17:39:03] Yellow node spawned at (388, 272)
[17:39:03] Yellow node spawned at (657, 297)
[17:39:05] Yellow node spawned at (583, 182)
[17:39:05] Yellow node spawned at (375, 358)
[17:39:05] Yellow node spawned at (182, 416)
[17:39:06] Yellow node spawned at (99, 510)
[17:39:06] Yellow node spawned at (447, 269)
[17:39:06] Yellow node spawned at (424, 486)
[17:39:06] Green node dissipated (code: 764)
[17:39:06] Green node dissipated (code: 764)
[17:39:06] Nodes bonded! Generated code: 199
[17:39:06] Nodes bonded! Generated code: 681
[17:39:09] Yellow node spawned at (388, 132)
[17:39:09] Yellow node spawned at (44, 320)
[17:39:09] Yellow node spawned at (591, 480)
[17:39:11] Yellow node spawned at (673, 111)
[17:39:11] Yellow node spawned at (143, 406)
[17:39:11] Yellow node spawned at (631, 180)
[17:39:13] Yellow node spawned at (412, 390)
[17:39:13] Yellow node spawned at (593, 545)
[17:39:13] Yellow node spawned at (125, 468)
[17:39:15] Yellow node spawned at (747, 405)
[17:39:15] Yellow node spawned at (673, 114)
[17:39:15] Yellow node spawned at (579, 290)
[17:39:17] Yellow node spawned at (665, 431)
[17:39:17] Yellow node spawned at (40, 153)
[17:39:17] Yellow node spawned at (140, 263)
[17:39:19] Yellow node spawned at (109, 475)
[17:39:19] Yellow node spawned at (544, 555)
[17:39:19] Yellow node spawned at (618, 503)
[17:39:21] Yellow node spawned at (369, 483)
[17:39:21] Yellow node spawned at (497, 76)
[17:39:21] Yellow node spawned at (259, 421)
[17:39:23] Yellow node spawned at (95, 218)
[17:39:23] Yellow node spawned at (278, 554)
[17:39:23] Yellow node spawned at (664, 541)
[17:39:25] Yellow node spawned at (160, 116)
[17:39:25] Yellow node spawned at (197, 322)
[17:39:25] Yellow node spawned at (333, 242)
[17:39:27] Yellow node spawned at (622, 220)
[17:39:27] Yellow node spawned at (146, 266)
[17:39:27] Yellow node spawned at (150, 495)
[17:39:29] Yellow node spawned at (503, 454)
[17:39:29] Yellow node spawned at (738, 294)
[17:39:29] Yellow node spawned at (323, 529)
[17:39:31] Yellow node spawned at (427, 165)
[17:39:31] Yellow node spawned at (531, 450)
[17:39:31] Yellow node spawned at (512, 364)
[17:39:33] Yellow node spawned at (253, 295)
[17:39:33] Yellow node spawned at (766, 284)
[17:39:33] Yellow node spawned at (484, 132)
[17:39:35] Yellow node spawned at (436, 312)
[17:39:35] Yellow node spawned at (161, 500)
[17:39:35] Yellow node spawned at (616, 312)
[17:39:37] Yellow node spawned at (35, 359)
[17:39:37] Yellow node spawned at (498, 393)
[17:39:37] Yellow node spawned at (372, 160)
[17:39:39] Yellow node spawned at (766, 361)
[17:39:39] Yellow node spawned at (478, 531)
[17:39:39] Yellow node spawned at (619, 103)
[17:39:41] Yellow node spawned at (146, 55)
[17:39:41] Yellow node spawned at (595, 184)
[17:39:41] Yellow node spawned at (396, 440)
[17:39:43] Yellow node spawned at (587, 509)
[17:39:43] Yellow node spawned at (628, 417)
[17:39:43] Yellow node spawned at (504, 442)
[17:39:45] Yellow node spawned at (193, 549)
[17:39:45] Yellow node spawned at (136, 63)
[17:39:45] Yellow node spawned at (397, 220)
[17:39:47] Yellow node spawned at (314, 102)
[17:39:47] Yellow node spawned at (741, 543)
[17:39:47] Yellow node spawned at (62, 508)
[17:39:49] Yellow node spawned at (590, 389)
[17:39:49] Yellow node spawned at (588, 294)
[17:39:49] Yellow node spawned at (68, 294)
[17:39:51] Yellow node spawned at (382, 103)
[17:39:51] Yellow node spawned at (460, 528)
[17:39:51] Yellow node spawned at (254, 87)
[17:39:53] Yellow node spawned at (292, 339)
[17:39:53] Yellow node spawned at (415, 408)
[17:39:53] Yellow node spawned at (736, 363)
[17:39:55] Yellow node spawned at (563, 386)
[17:39:55] Yellow node spawned at (365, 565)
[17:39:55] Yellow node spawned at (253, 205)
[17:39:57] Yellow node spawned at (426, 396)
[17:39:57] Yellow node spawned at (638, 118)
[17:39:57] Yellow node spawned at (427, 74)
[17:39:59] Yellow node spawned at (228, 544)
[17:39:59] Yellow node spawned at (428, 374)
[17:39:59] Yellow node spawned at (165, 262)
[17:40:01] Yellow node spawned at (455, 274)
[17:40:01] Yellow node spawned at (126, 121)
[17:40:01] Yellow node spawned at (584, 362)
[17:40:03] Yellow node spawned at (326, 250)
[17:40:03] Yellow node spawned at (278, 298)
[17:40:03] Yellow node spawned at (704, 85)
[17:40:05] Yellow node spawned at (729, 560)
[17:40:05] Yellow node spawned at (354, 226)
[17:40:05] Yellow node spawned at (333, 105)
[17:40:12] Yellow node spawned at (606, 207)
[17:40:12] Yellow node spawned at (354, 195)
[17:40:12] Yellow node spawned at (53, 263)
[17:41:12] Yellow node spawned at (765, 171)
[17:41:12] Yellow node spawned at (499, 392)
[17:41:12] Yellow node spawned at (673, 245)
[17:41:43] Yellow node spawned at (172, 73)
[17:41:43] Yellow node spawned at (251, 463)
[17:41:43] Yellow node spawned at (634, 342)
[17:41:43] Nodes bonded! Generated code: 584
[17:41:43] Nodes bonded! Generated code: 486
[17:41:43] Nodes bonded! Generated code: 386
[17:41:43] Nodes bonded! Generated code: 907
[17:41:43] Nodes bonded! Generated code: 734
[17:41:43] Nodes bonded! Generated code: 753
[17:41:43] Nodes bonded! Generated code: 529
[17:41:43] Nodes bonded! Generated code: 301
[17:41:43] Nodes bonded! Generated code: 872
[17:41:43] Nodes bonded! Generated code: 41
[17:41:43] Nodes bonded! Generated code: 995
