═══════════════════════════════════════════════════════════════
          NODE BONDING KEY DISCOVERY GAME - RUN LOG
═══════════════════════════════════════════════════════════════

HIGH INTENSITY GAME RULES:
───────────────────────────────────────────────────────────────
1. Multiple yellow nodes spawn every 2 seconds at random positions
2. Each node appears with a zoom animation (0 to full size)
3. Nodes remain still for 0.5 seconds after spawning
4. After the pause, nodes begin moving with HIGH random velocity
5. Nodes bounce off canvas boundaries
6. When two yellow nodes collide, they bond together
7. Bonded nodes turn green and generate a random code (1-1000)
8. Green bonded pairs remain stationary
9. Bonded pairs dissipate together after 5 seconds
10. A target key (1-1000) is randomly generated at game start
11. The game ends when a bonded pair generates the target key
───────────────────────────────────────────────────────────────

RUN STATISTICS:
───────────────────────────────────────────────────────────────
Run Date: 03/10/2025, 06:21:43
Target Key: 58
Total Time: 45762 seconds
Total Bonds Created: 2358
Total Nodes Spawned: 4003
Success Rate: 1/2358 (0.04%)
───────────────────────────────────────────────────────────────

DETAILED EVENT LOG:
───────────────────────────────────────────────────────────────
[17:39:00] Game started! Target key: 58
[17:39:00] Yellow node spawned at (516, 442)
[17:39:00] Yellow node spawned at (555, 507)
[17:39:00] Yellow node spawned at (730, 163)
[17:39:01] Nodes bonded! Generated code: 173
[17:39:02] Yellow node spawned at (269, 399)
[17:39:02] Yellow node spawned at (668, 465)
[17:39:02] Yellow node spawned at (331, 299)
[17:39:05] Yellow node spawned at (504, 512)
[17:39:05] Yellow node spawned at (247, 348)
[17:39:05] Yellow node spawned at (690, 59)
[17:39:06] Green node dissipated (code: 173)
[17:39:06] Green node dissipated (code: 173)
[17:39:06] Yellow node spawned at (127, 508)
[17:39:06] Yellow node spawned at (226, 251)
[17:39:06] Yellow node spawned at (580, 94)
[17:39:09] Yellow node spawned at (472, 176)
[17:39:09] Yellow node spawned at (434, 283)
[17:39:09] Yellow node spawned at (483, 256)
[17:39:11] Yellow node spawned at (632, 261)
[17:39:11] Yellow node spawned at (168, 331)
[17:39:11] Yellow node spawned at (161, 179)
[17:39:13] Yellow node spawned at (450, 151)
[17:39:13] Yellow node spawned at (449, 171)
[17:39:13] Yellow node spawned at (638, 468)
[17:39:15] Yellow node spawned at (328, 65)
[17:39:15] Yellow node spawned at (708, 78)
[17:39:15] Yellow node spawned at (675, 364)
[17:39:17] Yellow node spawned at (671, 330)
[17:39:17] Yellow node spawned at (752, 374)
[17:39:17] Yellow node spawned at (544, 233)
[17:39:19] Yellow node spawned at (224, 554)
[17:39:19] Yellow node spawned at (388, 416)
[17:39:19] Yellow node spawned at (231, 154)
[17:39:21] Yellow node spawned at (715, 181)
[17:39:21] Yellow node spawned at (69, 122)
[17:39:21] Yellow node spawned at (495, 517)
[17:39:23] Yellow node spawned at (338, 360)
[17:39:23] Yellow node spawned at (397, 83)
[17:39:23] Yellow node spawned at (596, 457)
[17:39:25] Yellow node spawned at (622, 167)
[17:39:25] Yellow node spawned at (408, 389)
[17:39:25] Yellow node spawned at (266, 136)
[17:39:27] Yellow node spawned at (85, 44)
[17:39:27] Yellow node spawned at (184, 559)
[17:39:27] Yellow node spawned at (405, 51)
[17:39:29] Yellow node spawned at (267, 235)
[17:39:29] Yellow node spawned at (498, 497)
[17:39:29] Yellow node spawned at (85, 496)
[17:39:31] Yellow node spawned at (621, 274)
[17:39:31] Yellow node spawned at (433, 77)
[17:39:31] Yellow node spawned at (631, 182)
[17:39:33] Yellow node spawned at (69, 431)
[17:39:33] Yellow node spawned at (486, 337)
[17:39:33] Yellow node spawned at (179, 97)
[17:39:35] Yellow node spawned at (175, 564)
[17:39:35] Yellow node spawned at (360, 85)
[17:39:35] Yellow node spawned at (741, 444)
[17:39:37] Yellow node spawned at (405, 568)
[17:39:37] Yellow node spawned at (356, 331)
[17:39:37] Yellow node spawned at (672, 90)
[17:39:39] Yellow node spawned at (752, 458)
[17:39:39] Yellow node spawned at (436, 316)
[17:39:39] Yellow node spawned at (505, 451)
[17:39:41] Yellow node spawned at (270, 497)
[17:39:41] Yellow node spawned at (435, 310)
[17:39:41] Yellow node spawned at (512, 205)
[17:39:43] Yellow node spawned at (671, 207)
[17:39:43] Yellow node spawned at (259, 359)
[17:39:43] Yellow node spawned at (217, 199)
[17:39:45] Yellow node spawned at (500, 336)
[17:39:45] Yellow node spawned at (752, 152)
[17:39:45] Yellow node spawned at (628, 141)
[17:39:47] Yellow node spawned at (184, 288)
[17:39:47] Yellow node spawned at (461, 446)
